teff,logg,period
3813.0,4.47,1.532
4261.0,4.57,14.891
4122.0,4.56,1.569
3760.0,4.77,15.678
4045.0,4.62,31.496
3774.0,4.74,42.659
4296.0,4.61,27.333
4217.0,4.72,23.131
4285.0,4.54,34.717
3925.0,4.72,17.045
4195.0,4.71,39.682
4341.0,4.61,38.757
4305.0,4.6,31.733
4354.0,4.59,22.189
4050.0,4.52,23.469
3857.0,4.74,17.354
3589.0,4.91,13.321
4055.0,4.56,12.315
4404.0,4.6,20.449
3878.0,4.73,0.374
4233.0,4.55,18.018
3898.0,4.7,15.153
3857.0,4.77,21.712
3705.0,4.81,29.62
4270.0,4.43,10.653
4070.0,4.4,16.197
4230.0,4.82,31.319
3754.0,4.79,24.925
4117.0,4.58,27.24
3832.0,4.52,37.348
3625.0,4.82,32.879
4069.0,4.67,38.173
3888.0,4.73,24.278
4011.0,4.72,37.851
3688.0,4.32,1.872
3934.0,4.72,20.429
3702.0,4.52,11.548
4132.0,4.59,20.48
4067.0,4.55,26.741
3471.0,4.98,36.258
4084.0,4.57,13.96
4280.0,4.57,4.9
4202.0,4.57,10.796
4313.0,4.63,22.448
4078.0,4.53,18.502
4368.0,4.69,17.253
4250.0,4.62,11.431
4267.0,4.46,30.372
4289.0,4.65,21.537
4337.0,4.7,18.35
4139.0,4.8,38.622
3705.0,4.81,18.641
3482.0,4.86,33.671
4085.0,4.45,30.03
4176.0,4.51,21.665
3650.0,4.87,13.607
4352.0,4.66,17.089
4303.0,4.48,21.366
3830.0,4.74,26.5
4112.0,4.64,25.637
3913.0,4.71,42.246
4371.0,4.41,30.462
3766.0,4.76,17.575
3451.0,4.92,20.167
4312.0,4.55,32.307
3951.0,4.49,37.057
3402.0,4.91,1.712
4302.0,4.6,21.326
3968.0,4.42,22.888
3984.0,4.47,12.217
3933.0,4.73,25.602
4248.0,4.69,19.57
3938.0,4.72,31.901
4379.0,4.56,19.754
3730.0,4.82,39.804
3956.0,4.73,11.095
3903.0,4.7,41.146
4398.0,4.57,1.175
4242.0,4.54,23.778
4250.0,4.7,36.913
4403.0,4.58,49.379
4312.0,4.62,25.364
3617.0,4.87,10.104
3744.0,4.79,15.472
4223.0,4.73,38.393
3975.0,4.7,8.865
4344.0,4.49,2.934
4343.0,4.37,11.652
4013.0,4.23,35.915
3862.0,4.74,34.068
4195.0,4.58,16.625
4220.0,4.71,27.609
3774.0,4.78,26.101
4254.0,4.66,24.021
4157.0,4.58,23.051
3389.0,4.93,45.962
3869.0,4.75,26.121
3627.0,4.86,18.979
3672.0,4.83,1.864
4052.0,4.7,27.59
4099.0,4.36,34.241
3836.0,4.65,45.99
3781.0,4.75,10.913
4342.0,4.69,39.222
4220.0,4.6,44.623
3897.0,4.72,13.635
3857.0,4.74,15.568
4206.0,4.58,23.532
4311.0,4.6,11.569
4351.0,4.76,31.136
3511.0,4.06,32.181
3764.0,4.77,17.539
4094.0,4.55,11.976
4263.0,4.63,25.117
4108.0,4.47,42.211
3624.0,4.1,14.903
3531.0,4.05,29.878
3790.0,4.79,28.03
4301.0,4.66,23.701
4244.0,4.46,19.741
3743.0,4.79,16.171
3368.0,4.94,56.728
4126.0,4.58,38.828
4084.0,4.55,23.83
3921.0,4.72,4.14
3981.0,4.7,29.857
3777.0,4.77,26.884
4327.0,4.73,13.802
4248.0,4.37,8.698
4004.0,4.47,22.446
4113.0,4.57,23.378
3761.0,4.8,33.05
4248.0,4.5,10.039
4199.0,4.49,18.987
3800.0,4.79,14.707
3204.0,5.13,24.142
4380.0,4.55,19.892
3914.0,4.73,37.55
3524.0,4.88,21.875
3716.0,4.81,13.436
3233.0,5.08,23.227
4211.0,4.41,27.236
3624.0,4.82,41.079
4061.0,4.33,39.835
4078.0,4.54,13.36
3735.0,4.84,14.995
3971.0,4.7,29.358
4043.0,4.36,34.624
4106.0,4.58,13.555
3666.0,4.83,32.441
4201.0,4.39,12.27
4220.0,4.53,24.459
3395.0,4.98,38.698
4120.0,4.55,25.968
3598.0,4.86,16.134
4106.0,4.53,25.844
4110.0,4.59,27.452
3685.0,4.8,36.292
3695.0,4.81,17.206
4258.0,4.62,11.846
4286.0,4.45,25.092
3632.0,4.83,45.917
3547.0,4.89,19.597
4249.0,4.48,30.939
4041.0,4.51,18.59
4242.0,4.49,34.277
4208.0,4.37,0.244
4279.0,4.57,21.995
4348.0,4.61,32.258
3664.0,4.81,17.658
4370.0,4.58,21.621
4148.0,4.49,31.286
3726.0,4.52,15.095
4286.0,4.5,31.335
4389.0,4.37,38.466
4338.0,4.67,19.616
4083.0,4.58,16.085
3567.0,4.86,22.168
3981.0,4.72,43.328
3522.0,4.93,34.991
3449.0,4.92,39.259
3601.0,4.88,18.095
4112.0,4.59,31.992
3901.0,4.7,13.451
4285.0,4.42,27.394
4232.0,4.61,24.516
4058.0,4.64,8.163
3522.0,4.88,14.561
3379.0,4.94,4.785
3832.0,4.38,13.318
3417.0,4.97,45.448
4340.0,4.63,16.643
4219.0,4.62,33.076
3341.0,4.97,37.751
4156.0,4.62,16.408
4192.0,4.4,11.387
4288.0,4.34,9.949
4156.0,4.56,38.283
4170.0,4.52,7.548
3965.0,4.63,37.107
