#      CDF      prot
#             (days)
    0.0100      0.22
    0.0200      0.67
    0.0300      1.04
    0.0400      1.37
    0.0500      1.66
    0.0600      1.93
    0.0700      2.18
    0.0800      2.42
    0.0900      2.65
    0.1000      2.86
    0.1100      3.07
    0.1200      3.27
    0.1300      3.47
    0.1400      3.66
    0.1500      3.85
    0.1600      4.04
    0.1700      4.22
    0.1800      4.40
    0.1900      4.57
    0.2000      4.75
    0.2100      4.92
    0.2200      5.09
    0.2300      5.26
    0.2400      5.43
    0.2500      5.59
    0.2600      5.75
    0.2700      5.92
    0.2800      6.07
    0.2900      6.23
    0.3000      6.39
    0.3100      6.54
    0.3200      6.69
    0.3300      6.84
    0.3400      6.99
    0.3500      7.14
    0.3600      7.28
    0.3700      7.43
    0.3800      7.57
    0.3900      7.71
    0.4000      7.85
    0.4100      7.99
    0.4200      8.13
    0.4300      8.27
    0.4400      8.40
    0.4500      8.54
    0.4600      8.67
    0.4700      8.81
    0.4800      8.94
    0.4900      9.08
    0.5000      9.21
    0.5100      9.35
    0.5200      9.48
    0.5300      9.61
    0.5400      9.75
    0.5500      9.89
    0.5600     10.02
    0.5700     10.16
    0.5800     10.30
    0.5900     10.43
    0.6000     10.57
    0.6100     10.71
    0.6200     10.86
    0.6300     11.00
    0.6400     11.15
    0.6500     11.29
    0.6600     11.44
    0.6700     11.60
    0.6800     11.75
    0.6900     11.91
    0.7000     12.07
    0.7100     12.23
    0.7200     12.39
    0.7300     12.56
    0.7400     12.74
    0.7500     12.92
    0.7600     13.10
    0.7700     13.29
    0.7800     13.49
    0.7900     13.69
    0.8000     13.91
    0.8100     14.13
    0.8200     14.36
    0.8300     14.61
    0.8400     14.87
    0.8500     15.15
    0.8600     15.45
    0.8700     15.77
    0.8800     16.13
    0.8900     16.53
    0.9000     16.97
    0.9100     17.48
    0.9200     18.06
    0.9300     18.76
    0.9400     19.61
    0.9500     20.69
    0.9600     22.13
    0.9700     23.92
    0.9800     26.13
    0.9900     31.45
    1.0000     58.75
