#      CDF      prot
#             (days)
    0.0069      1.23
    0.0169      2.16
    0.0270      3.07
    0.0370      3.95
    0.0470      4.81
    0.0571      5.66
    0.0671      6.51
    0.0771      7.36
    0.0872      8.20
    0.0972      9.05
    0.1072      9.91
    0.1173     10.77
    0.1273     11.63
    0.1373     12.49
    0.1473     13.36
    0.1574     14.22
    0.1674     15.08
    0.1774     15.93
    0.1875     16.78
    0.1975     17.60
    0.2075     18.42
    0.2176     19.22
    0.2276     20.00
    0.2376     20.77
    0.2477     21.52
    0.2577     22.24
    0.2677     22.95
    0.2778     23.65
    0.2878     24.32
    0.2978     24.98
    0.3078     25.61
    0.3179     26.24
    0.3279     26.84
    0.3379     27.43
    0.3480     28.00
    0.3580     28.56
    0.3680     29.11
    0.3781     29.64
    0.3881     30.16
    0.3981     30.67
    0.4082     31.17
    0.4182     31.66
    0.4282     32.14
    0.4383     32.62
    0.4483     33.08
    0.4583     33.54
    0.4683     33.99
    0.4784     34.44
    0.4884     34.88
    0.4984     35.32
    0.5085     35.75
    0.5185     36.18
    0.5285     36.61
    0.5386     37.03
    0.5486     37.46
    0.5586     37.88
    0.5687     38.30
    0.5787     38.73
    0.5887     39.15
    0.5988     39.57
    0.6088     40.00
    0.6188     40.43
    0.6288     40.86
    0.6389     41.29
    0.6489     41.73
    0.6589     42.17
    0.6690     42.62
    0.6790     43.07
    0.6890     43.53
    0.6991     44.00
    0.7091     44.48
    0.7191     44.96
    0.7292     45.45
    0.7392     45.95
    0.7492     46.47
    0.7593     46.99
    0.7693     47.53
    0.7793     48.08
    0.7893     48.65
    0.7994     49.23
    0.8094     49.83
    0.8194     50.45
    0.8295     51.09
    0.8395     51.74
    0.8495     52.42
    0.8596     53.11
    0.8696     53.84
    0.8796     54.58
    0.8897     55.36
    0.8997     56.16
    0.9097     56.99
    0.9198     57.86
    0.9298     58.78
    0.9398     59.74
    0.9498     60.76
    0.9599     61.85
    0.9699     63.04
    0.9799     64.36
    0.9900     65.88
    1.0000     67.70
