HIP,RAhms,DEdms,vmag,VarFlag,HD,spectral_type,tic,logg,teff,ra,dec,ms,rs,period
89348,18 13 53.36,+64 23 49.9,4.99,,168151.0,F5V,233121747.0,4.13083,6474.0,273.474303286367,64.3972847978429,1.32,1.63646,6.321468782316174
606,00 07 22.41,-25 21 22.8,7.06,,268.0,F5V,12395998.0,4.27065,6459.45,1.8439339684391296,-25.35665191658211,1.31,1.38786,2.256630575780002
5932,01 16 16.11,+16 09 59.8,7.93,,7616.0,F8V,381245640.0,4.116230000000002,6442.78,19.0673478951438,16.166546127021302,1.3,1.6515400000000002,6.9440432410726265
116106,23 31 31.40,-04 05 13.0,6.5,,221356.0,F8V,250080475.0,4.38754,5987.0,352.88126179997,-4.08740442739167,1.1,1.11163,2.2083985440322884
20577,04 24 28.26,+16 53 10.4,7.79,,27859.0,G2V,59087638.0,4.4229,6013.0,66.1180301542612,16.8861672983982,1.11,1.07212,7.848971147863952
53850,11 00 57.60,+27 07 55.9,7.95,,95363.0,F7V,172536590.0,3.95264,6200.3,165.239942483536,27.132213114669398,1.19,1.9076,3.3922774979410426
60288,12 21 44.77,-61 32 19.0,7.91,,107509.0,F8V,310891144.0,4.23016,6115.38,185.435276468449,-61.5387467914726,1.15,1.3624,5.039919351458652
107040,21 40 42.96,+28 45 20.1,7.41,,206332.0,G0V,248039969.0,4.21743,5967.0,325.179387395485,28.755669707644,1.09,1.34596,16.30863845869808
83701,17 06 23.26,-37 06 04.9,7.82,,154337.0,F8V,378102890.0,4.34243,6311.04,256.597034049192,-37.1015686647685,1.24,1.24317,9.367935315966218
78601,16 02 51.83,-30 56 39.5,7.78,,143649.0,F7V,93700583.0,3.93394,6201.65,240.71566112927,-30.9445672246417,1.19,1.94911,2.3561606061758433
25376,05 25 42.48,-53 28 51.2,7.85,,36008.0,F7V,231729308.0,4.3498,6306.3,81.42728265859309,-53.4807249491403,1.24,1.2326700000000002,1.4131945921668685
89620,18 17 23.66,-28 17 19.0,6.36,,167665.0,F8V,379558372.0,4.23416,6108.0,274.348993621979,-28.288944923027703,1.15,1.35614,24.382893093641943
24438,05 14 34.43,-13 55 28.0,8.0,,34138.0,F3V,188986515.0,4.011830000000002,6472.0,78.64345815058971,-13.924419919396696,1.318,1.87532,3.827087609288811
76954,15 42 46.42,-16 00 48.9,7.05,,140164.0,F7V,71769047.0,4.30499982833862,6307.0,235.693226,-16.013686,1.30200004577637,,1.5197080638992744
114096,23 06 31.71,+19 54 39.0,6.44,,218261.0,F7V,245367276.0,4.33846,6158.13,346.632856978573,19.9108521744454,1.17,1.21311,4.953536417763975
69143,14 09 13.25,-22 32 15.7,7.77,,123619.0,F6V,79020976.0,4.2607,6154.07,212.30501611600602,-22.5375607997015,1.17,1.32671,3.588485798538295
112447,22 46 41.44,+12 10 26.7,4.2,,215648.0,F7V,60716322.0,3.97055,6178.29,341.6732352815,12.1728933658899,1.18,1.86081,6.710868252090536
100633,20 24 19.59,-23 28 32.8,7.71,,194063.0,F6V,72099941.0,4.33018,6309.07,306.081617041914,-23.4758017387527,1.24,1.26083,4.50993152474744
3434,00 43 48.71,-37 28 22.0,7.63,,4169.0,F5V,308209763.0,4.20263,6312.93,10.952935216310301,-37.472809681284396,1.24,1.4602700000000002,5.20348713702943
103957,21 03 48.24,-24 19 20.5,7.88,,200379.0,F6V,29755993.0,4.01811,6484.0,315.951048043749,-24.322376183607503,1.40600001811981,,4.518564221311691
26404,05 37 13.64,-24 24 07.6,7.68,,37391.0,F5V,32498273.0,4.34733,6470.0,84.30686334027791,-24.402142104788798,1.32,1.2754299999999998,4.580578545781518
104298,21 07 44.81,-31 03 25.3,7.24,,200973.0,F5V,92749735.0,4.0072,6345.57,316.93740818526,-31.0567788171738,1.26,1.84339,5.903306730870163
67742,13 52 36.41,-50 55 17.8,7.37,,120780.0,K1V,241682179.0,4.61458,5025.86,208.14940887820998,-50.92172827283521,0.84,0.74797,9.512224481196998
73383,14 59 45.19,-43 48 39.7,6.59,,132301.0,F5V,334137763.0,4.3268900000000015,6405.59,224.93764806485802,-43.8113354114498,1.29,1.29087,1.8378770041320887
97185,19 45 10.38,-70 00 59.1,7.8,,185560.0,F6V,466134845.0,4.25133,6337.0,296.292865216512,-70.01653811327981,1.25,1.38619,19.730752925640573
19501,04 10 41.35,-25 25 32.1,7.86,,26519.0,F5V,44799612.0,4.27873,6391.15,62.672145925587905,-25.4259380337984,1.28,1.3591799999999998,1.678506342480675
18870,04 02 42.69,-27 29 01.4,7.4,,25587.0,F7V,44735561.0,4.10998,6147.61,60.6781203213416,-27.483547159695807,1.17,1.57811,6.362117044992929
116528,23 36 57.14,-36 48 04.4,7.68,,221982.0,F6V,224269367.0,4.03252,6455.0,354.238464,-36.801285,1.24000000953674,,8.329452402466544
71682,14 39 40.93,-26 43 25.1,6.99,,128787.0,F5V,34920.0,4.35241,6395.0,219.92063656569698,-26.72364596301361,1.28,1.24863,3.0357331135397856
73941,15 06 35.19,+36 27 21.5,6.35,,134044.0,F8V,20204058.0,4.33716,6266.49,226.646440075147,36.456065903657105,1.22,1.2406,7.212706890181105
98470,20 00 20.16,-33 42 09.9,5.65,,189245.0,F7V,211305389.0,4.37629,6369.92,300.08437117486403,-33.7034521358179,1.27,1.21002,3.0727776026164326
4087,00 52 28.14,+21 24 36.3,7.28,,5036.0,F7V,435878278.0,3.89099,6366.17,13.1173999950264,21.4099369009562,1.27,2.11563,0.6194251202669097
100334,20 20 53.52,-18 09 22.0,7.8,,193454.0,G0V,71843101.0,4.042,6219.27,305.223203,-18.156279,1.2059999704361,,2.9485503858441833
46934,09 33 57.69,-31 56 28.2,7.55,,82895.0,F3V,25209852.0,4.26215,6477.05,143.49001125626802,-31.9408922379246,1.32,1.40685,4.661075765330188
46388,09 27 31.80,-58 05 40.3,7.2,,82082.0,G2V,437873486.0,4.02901,5962.91,141.88182887548598,-58.094563391779005,1.09,1.67203,7.463640589076166
52888,10 49 00.40,-31 03 32.1,7.48,,93745.0,G2V,48768845.0,4.05437,5960.69,162.252164310555,-31.0591450477938,1.09,1.62392,8.151447660547676
62512,12 48 39.34,+60 19 11.6,5.83,,111456.0,F5V,142277151.0,4.26014,6294.03,192.16436250230598,60.3197327435446,1.23,1.3611799999999998,0.8174646856220447
40167,08 12 12.71,+17 38 53.3,4.67,,68255.0,G0V,27550294.0,4.27,6094.43,123.053523396486,17.6479477860429,1.30999994277954,,14.780940786213886
70839,14 29 09.86,-29 06 48.7,7.1,,126933.0,F7V,83783485.0,4.1071800000000005,6212.32,217.291091474336,-29.1135444887288,1.2,1.60337,5.14156520576134
94454,19 13 25.82,-14 26 48.9,7.64,,179518.0,F5V,6990809.0,4.03448,6440.0,288.357749188054,-14.4469606526554,1.28199994564056,,1.3121730724101324
109271,22 08 15.23,-17 50 08.8,7.84,,210094.0,G1V,75322674.0,4.42356,6189.48,332.063901270617,-17.8360479162021,1.19,1.10924,3.0196492647431783
12184,02 36 57.64,+24 38 53.1,7.1,,16232.0,F4V,22874788.0,4.28021,6252.09,39.2406037038137,24.6480562909591,1.21,1.31923,5.175018241143543
12288,02 38 18.60,-30 11 38.0,5.84,,16538.0,F5V,122556844.0,4.02993,6348.41,39.57775559383671,-30.1940644161766,1.26,1.7957900000000002,1.4383607220564896
67784,13 53 11.93,-15 59 53.7,7.96,,120999.0,F6V,346047514.0,4.32198,6375.42,208.299167108721,-15.9983306315471,1.27,1.28808,14.399262891089469
108649,22 00 38.82,-14 09 51.5,7.72,,209029.0,F8V,425074394.0,4.23409,6376.71,330.162053161918,-14.164342357786,1.27,1.42525,1.1461609773898214
48693,09 55 47.64,-20 44 49.7,7.72,,86083.0,G2V,101416882.0,4.05209,6012.7,148.948912304745,-20.7474028233562,1.11,1.64304,5.728426683488687
72447,14 48 53.25,+05 57 16.6,6.83,,130604.0,F6V,459345813.0,4.04977,6492.0,222.22189517744,5.954402975944443,1.42999994754791,1.8025,1.8524813154450444
29882,06 17 33.69,+35 08 56.8,6.68,,43382.0,F6V,239972376.0,4.19519,6468.44,94.39058994720759,35.1491968745437,1.32,1.51958,6.117259501331079
44707,09 06 33.52,+38 05 19.2,7.86,,77930.0,F6V,16148468.0,4.05135,6287.0,136.639201621018,38.0886141479228,1.23,1.73105,10.440061316724435
60031,12 18 40.94,+26 11 24.8,7.56,,107086.0,F8V,328859706.0,4.2239,6500.47,184.670458474126,26.1903605221524,1.33,1.47574,4.083503759676739
90459,18 27 31.29,-15 22 25.3,6.95,,169915.0,F5V,177005507.0,4.22968,6451.0,276.880483178425,-15.3736272064168,1.31,1.45489,5.662442024752545
