teff,logg,period
3832.0,4.88,15.4
4163.0,4.79,16.51
3808.0,4.95,16.89
3718.0,4.95,7.93
3858.0,4.94,15.45
5038.0,4.61,15.57
3389.0,5.1,13.28
4161.0,4.78,4.93
3856.0,4.88,17.95
5915.0,4.37,4.32
5932.0,4.33,2.5
6029.0,4.28,2.57
5612.0,4.38,2.66
5903.0,4.34,3.2
5462.0,4.51,4.96
5179.0,4.57,4.42
3726.0,4.96,16.28
5445.0,4.51,3.15
4894.0,4.63,3.11
4907.0,4.59,12.73
3700.0,4.96,2.49
3435.0,5.09,15.03
3817.0,4.89,17.7
4911.0,4.59,16.1
5688.0,4.37,14.11
5785.0,4.38,8.1
3537.0,5.04,2.19
5074.0,4.53,12.67
5006.0,4.56,10.62
4302.0,4.74,15.58
5083.0,4.65,4.1
5450.0,4.5,11.79
3604.0,5.01,16.83
3524.0,5.04,7.38
3501.0,5.06,15.36
3684.0,4.95,15.15
3528.0,5.04,16.72
3720.0,4.95,3.36
3544.0,5.01,17.73
3789.0,4.97,2.66
3588.0,4.99,3.13
3625.0,4.98,16.49
3733.0,4.9,2.44
3969.0,4.84,13.37
3827.0,4.92,16.33
3831.0,4.89,17.99
3674.0,4.95,17.89
3620.0,5.0,9.07
3911.0,4.86,3.13
3771.0,4.9,12.72
3927.0,4.86,11.59
3767.0,4.92,3.76
3667.0,4.97,8.5
3811.0,4.89,10.6
3811.0,4.9,16.14
3710.0,4.93,12.64
3761.0,4.94,9.51
3602.0,5.0,10.41
3627.0,4.98,15.27
3614.0,5.02,10.36
3832.0,4.9,8.81
3818.0,4.89,10.64
3712.0,4.98,15.52
3748.0,4.97,16.1
3864.0,4.89,11.54
3758.0,4.95,4.45
3579.0,5.04,1.45
3665.0,4.96,9.04
4031.0,4.83,15.22
3686.0,4.98,15.15
3559.0,4.99,2.19
3588.0,5.02,14.15
3594.0,5.0,6.23
3856.0,4.88,14.73
3738.0,4.97,4.72
3562.0,5.02,11.24
3638.0,4.97,2.33
3892.0,4.88,3.65
3692.0,4.98,13.54
4180.0,4.78,3.09
3594.0,5.0,1.59
3600.0,5.01,13.43
3728.0,4.93,2.5
3599.0,5.04,16.64
6050.0,4.23,12.53
3984.0,4.82,12.55
4023.0,4.86,15.33
4106.0,4.83,15.59
3645.0,4.99,17.39
3592.0,4.97,15.96
3988.0,4.86,14.98
3673.0,4.93,16.47
3617.0,5.01,15.96
3863.0,4.86,11.64
3896.0,4.87,15.23
5470.0,4.51,2.91
6032.0,4.39,5.72
6088.0,4.34,3.13
5990.0,4.3,2.41
5136.0,4.58,1.25
5809.0,4.49,8.27
5014.0,4.64,4.11
6188.0,4.36,3.69
3757.0,4.91,8.79
3704.0,4.97,14.88
3823.0,4.93,16.78
3365.0,5.06,12.89
3887.0,4.87,15.99
4873.0,4.6,15.2
4032.0,4.8,16.26
3743.0,4.99,12.65
3740.0,4.93,17.91
3959.0,4.85,14.86
3762.0,4.99,17.8
3597.0,5.02,9.51
3379.0,5.06,15.92
3837.0,4.89,15.33
4031.0,4.82,15.19
3586.0,5.0,2.09
3719.0,4.95,7.85
3656.0,4.93,16.53
4167.0,4.77,15.98
3588.0,4.99,1.7
4026.0,4.83,15.0
3795.0,4.92,15.86
3954.0,4.85,16.52
3692.0,4.97,16.26
3861.0,4.87,15.85
3994.0,4.89,8.22
3990.0,4.89,16.19
3565.0,5.04,5.88
3739.0,4.91,12.26
3830.0,4.92,2.42
3892.0,4.87,16.02
3435.0,5.05,15.27
3626.0,4.96,17.86
3446.0,5.06,16.36
4435.0,4.89,12.49
3395.0,5.07,3.24
3600.0,5.04,14.65
3621.0,4.97,16.45
4160.0,4.77,2.41
3752.0,4.94,11.08
4538.0,4.78,11.77
4625.0,4.68,16.01
4122.0,4.78,12.93
3748.0,4.9,2.49
3740.0,4.91,16.53
4010.0,4.81,10.72
4027.0,4.81,2.4
3922.0,4.85,16.14
3612.0,4.98,16.48
3848.0,4.89,9.47
3861.0,4.89,11.37
3677.0,4.96,16.14
4045.0,4.82,11.61
3688.0,5.03,15.27
3849.0,4.86,14.78
3808.0,4.88,16.04
3990.0,4.84,11.85
3938.0,4.85,17.82
3882.0,4.84,15.24
3839.0,4.91,17.87
3926.0,4.88,17.33
3687.0,4.93,13.68
3937.0,4.83,15.08
3919.0,4.88,16.02
3882.0,4.89,12.49
3901.0,4.87,17.29
3963.0,4.84,15.95
3871.0,4.88,13.37
3845.0,4.86,3.95
3788.0,4.93,17.97
3738.0,4.93,16.06
4035.0,4.83,16.15
3954.0,4.84,11.67
3945.0,4.82,16.95
3824.0,4.91,15.09
4044.0,4.81,9.02
3940.0,4.86,16.45
3821.0,4.9,11.95
3850.0,4.88,12.24
4638.0,4.61,17.82
3928.0,4.85,16.5
3849.0,4.86,2.24
3904.0,4.86,15.54
4878.0,4.6,14.92
5438.0,4.5,16.35
5417.0,4.54,16.25
5193.0,4.56,17.1
5474.0,4.52,12.17
5808.0,4.36,17.95
4926.0,4.62,11.27
5051.0,4.62,14.16
5264.0,4.55,16.3
3981.0,4.82,9.75
4347.0,4.74,14.58
5789.0,4.45,6.84
5619.0,4.45,14.2
5511.0,4.5,10.91
5733.0,4.45,16.31
5065.0,4.59,8.1
5838.0,4.27,4.81
5940.0,4.36,4.82
5644.0,4.48,11.52
5705.0,4.47,11.56
5766.0,4.47,10.78
5468.0,4.49,13.99
6018.0,4.41,14.79
5765.0,4.42,4.17
6238.0,4.21,13.5
6167.0,4.33,3.95
5993.0,4.4,3.1
6034.0,4.34,9.26
5939.0,4.43,15.9
6095.0,4.36,10.48
5600.0,4.46,15.9
6143.0,4.22,15.12
5981.0,4.41,9.74
6172.0,4.22,5.3
6187.0,4.31,14.16
5575.0,4.26,8.88
5712.0,4.45,8.13
5834.0,4.42,13.51
6136.0,4.37,10.55
5949.0,4.44,4.83
5396.0,4.51,14.03
6166.0,4.35,12.53
6124.0,4.36,12.7
6120.0,4.32,1.32
6132.0,4.37,7.54
6147.0,4.37,7.24
6165.0,4.36,3.35
6023.0,4.35,6.4
6093.0,4.38,5.15
5787.0,4.36,10.65
6155.0,4.32,7.53
6218.0,4.33,8.98
6022.0,4.24,13.46
6224.0,4.34,5.48
6112.0,4.34,3.44
6235.0,4.31,8.61
6183.0,4.31,12.53
6162.0,4.32,11.69
5314.0,4.54,8.08
6035.0,4.25,15.29
5633.0,4.47,8.43
6134.0,4.2,11.5
6077.0,4.35,5.68
6194.0,4.25,13.14
4557.0,4.67,16.3
3934.0,4.89,9.58
5902.0,4.34,5.41
5376.0,4.56,12.38
6205.0,4.36,8.0
5876.0,4.3,16.52
6109.0,4.24,3.48
5932.0,4.34,12.84
6012.0,4.24,6.25
6030.0,4.21,3.09
5900.0,4.34,8.31
6159.0,4.35,2.95
5750.0,4.35,6.63
5355.0,4.53,14.7
6231.0,4.34,4.31
6227.0,4.23,9.88
5852.0,4.29,6.62
5957.0,4.35,8.81
5924.0,4.33,3.62
5698.0,4.45,7.93
6034.0,4.38,15.73
5786.0,4.44,7.88
5997.0,4.39,11.82
5470.0,4.49,16.74
6127.0,4.26,11.81
5953.0,4.39,7.25
6049.0,4.27,12.84
5875.0,4.39,12.56
5924.0,4.39,10.37
