,teff,logg,period
0,3813.0,4.47,1.532
1,4261.0,4.57,14.891
2,4122.0,4.56,1.569
3,3760.0,4.77,15.678
4,4045.0,4.62,31.496
5,3774.0,4.74,42.659
6,4296.0,4.61,27.333
7,4217.0,4.72,23.131
8,4285.0,4.54,34.717
9,3925.0,4.72,17.045
10,4195.0,4.71,39.682
11,4341.0,4.61,38.757
12,4305.0,4.6,31.733
13,4354.0,4.59,22.189
14,4050.0,4.52,23.469
15,3857.0,4.74,17.354
16,3589.0,4.91,13.321
17,4055.0,4.56,12.315
18,4404.0,4.6,20.449
19,3878.0,4.73,0.374
20,4233.0,4.55,18.018
21,3898.0,4.7,15.153
22,3857.0,4.77,21.712
23,3705.0,4.81,29.62
24,4270.0,4.43,10.653
25,4070.0,4.4,16.197
26,4230.0,4.82,31.319
27,3754.0,4.79,24.925
28,4117.0,4.58,27.24
29,3832.0,4.52,37.348
30,3625.0,4.82,32.879
31,4069.0,4.67,38.173
32,3888.0,4.73,24.278
33,4011.0,4.72,37.851
34,3688.0,4.32,1.872
35,3934.0,4.72,20.429
36,3702.0,4.52,11.548
37,4132.0,4.59,20.48
38,4067.0,4.55,26.741
39,3471.0,4.98,36.258
40,4084.0,4.57,13.96
41,4280.0,4.57,4.9
42,4202.0,4.57,10.796
43,4313.0,4.63,22.448
44,4078.0,4.53,18.502
45,4368.0,4.69,17.253
46,4250.0,4.62,11.431
47,4267.0,4.46,30.372
48,4289.0,4.65,21.537
49,4337.0,4.7,18.35
50,4139.0,4.8,38.622
51,3705.0,4.81,18.641
52,3482.0,4.86,33.671
53,4085.0,4.45,30.03
54,4176.0,4.51,21.665
55,3650.0,4.87,13.607
56,4352.0,4.66,17.089
57,4303.0,4.48,21.366
58,3830.0,4.74,26.5
59,4112.0,4.64,25.637
60,3913.0,4.71,42.246
61,4371.0,4.41,30.462
62,3766.0,4.76,17.575
63,3451.0,4.92,20.167
64,4312.0,4.55,32.307
65,3951.0,4.49,37.057
66,3402.0,4.91,1.712
67,4302.0,4.6,21.326
68,3968.0,4.42,22.888
69,3984.0,4.47,12.217
70,3933.0,4.73,25.602
71,4248.0,4.69,19.57
72,3938.0,4.72,31.901
73,4379.0,4.56,19.754
74,3730.0,4.82,39.804
75,3956.0,4.73,11.095
76,3903.0,4.7,41.146
77,4398.0,4.57,1.175
78,4242.0,4.54,23.778
79,4250.0,4.7,36.913
80,4403.0,4.58,49.379
81,4312.0,4.62,25.364
82,3617.0,4.87,10.104
83,3744.0,4.79,15.472
84,4223.0,4.73,38.393
85,3975.0,4.7,8.865
86,4344.0,4.49,2.934
87,4343.0,4.37,11.652
88,4013.0,4.23,35.915
89,3862.0,4.74,34.068
90,4195.0,4.58,16.625
91,4220.0,4.71,27.609
92,3774.0,4.78,26.101
93,4254.0,4.66,24.021
94,4157.0,4.58,23.051
95,3389.0,4.93,45.962
96,3869.0,4.75,26.121
97,3627.0,4.86,18.979
98,3672.0,4.83,1.864
99,4052.0,4.7,27.59
100,4099.0,4.36,34.241
101,3836.0,4.65,45.99
102,3781.0,4.75,10.913
103,4342.0,4.69,39.222
104,4220.0,4.6,44.623
105,3897.0,4.72,13.635
106,3857.0,4.74,15.568
107,4206.0,4.58,23.532
