#      CDF      prot
#             (days)
    0.0031      0.23
    0.0131      1.80
    0.0232      2.93
    0.0333      3.82
    0.0434      4.56
    0.0534      5.19
    0.0635      5.75
    0.0736      6.25
    0.0836      6.71
    0.0937      7.14
    0.1038      7.54
    0.1138      7.92
    0.1239      8.29
    0.1340      8.64
    0.1441      8.98
    0.1541      9.30
    0.1642      9.63
    0.1743      9.94
    0.1843     10.25
    0.1944     10.55
    0.2045     10.84
    0.2145     11.14
    0.2246     11.43
    0.2347     11.71
    0.2448     11.99
    0.2548     12.27
    0.2649     12.55
    0.2750     12.82
    0.2850     13.09
    0.2951     13.36
    0.3052     13.63
    0.3152     13.90
    0.3253     14.16
    0.3354     14.42
    0.3455     14.68
    0.3555     14.94
    0.3656     15.19
    0.3757     15.44
    0.3857     15.69
    0.3958     15.94
    0.4059     16.19
    0.4159     16.43
    0.4260     16.68
    0.4361     16.92
    0.4462     17.16
    0.4562     17.39
    0.4663     17.63
    0.4764     17.86
    0.4864     18.09
    0.4965     18.31
    0.5066     18.54
    0.5166     18.76
    0.5267     18.98
    0.5368     19.20
    0.5469     19.42
    0.5569     19.64
    0.5670     19.85
    0.5771     20.07
    0.5871     20.28
    0.5972     20.50
    0.6073     20.71
    0.6173     20.92
    0.6274     21.13
    0.6375     21.34
    0.6476     21.56
    0.6576     21.77
    0.6677     21.98
    0.6778     22.20
    0.6878     22.41
    0.6979     22.63
    0.7080     22.85
    0.7180     23.07
    0.7281     23.29
    0.7382     23.51
    0.7483     23.74
    0.7583     23.97
    0.7684     24.21
    0.7785     24.45
    0.7885     24.69
    0.7986     24.94
    0.8087     25.19
    0.8187     25.45
    0.8288     25.72
    0.8389     26.00
    0.8490     26.28
    0.8590     26.58
    0.8691     26.89
    0.8792     27.22
    0.8892     27.57
    0.8993     27.94
    0.9094     28.34
    0.9194     28.78
    0.9295     29.26
    0.9396     29.81
    0.9497     30.45
    0.9597     31.25
    0.9698     32.33
    0.9799     34.30
    0.9899     47.87
    1.0000     66.50
